DONATION_ID,DISBURSEMENT_ID,DISBURSEMENT_BATCH_ID,FOUNDATION_ID,FOUNDATION_NAME,PARTNER_ID,PARTNER_NAME,SUBSIDIARY_ID,SUBSIDIARY_NAME,ORGANISATION_ID,ORGANISATION_NAME,ORGANISATION_COUNTRY,FUNDRAISER_ID,MATCHED_FROM_DONATION_ID,PROVIDER,PAYMENT_INTENT_EXTERNAL_ID,SUBSCRIPTION_ID,EXTERNAL_PAYMENT_URL,CREATED_AT,CANCELLED_AT,SETTLED_AT,PAYMENT_INITIATED_AT,PAID_AT,DONATION_TYPE,DONATION_STATUS,COMPLIANCE_STATUS,PAYMENT_METHOD,REASSIGNED_REASON,DONATION_REQUEST_SENT_AT,DONATION_REQUEST_REFERENCE,ACCOUNT_ID,DONATION_CURRENCY,DONATION_AMOUNT,DONATION_AMOUNT_USD,SETTLED_CURRENCY,SETTLED_AMOUNT,SETTLED_AMOUNT_USD,DONATION_REQUEST_CURRENCY,DONATION_REQUEST_AMOUNT,DONATION_FEE_CURRENCY,DONATION_FEE_AMOUNT,DONATION_FEE_AMOUNT_USD,ACTUAL_ORGANISATION_CURRENCY,ATTRIBUTED_ORGANISATION_AMOUNT,ATTRIBUTED_ORGANISATION_AMOUNT_USD,SUBSIDIARY_FEE_CURRENCY,SUBSIDIARY_FEE_AMOUNT
donation_000000D8LWuynwldBDEQkUd3YPcZx,,,foundation_000000CS58uchzd01CInAFMQI8WG0,Foundation_Name_2,partner_000000CBRzAHRM9WxOQCLvDOxYEIC,Partner_Name_1,subsidiary_000000CwBmCJsFXyzCjKluHzd2I76,Subsidiary_Name_2,organisation_000000D6DKVVvbgxjvb3bDeRgkibD,Organisation_Name_87,Nigeria,,,stripe,pi_3Rp8x6JnsAXlefwu0OlRQey6,subscription_000000D8LWuynwldBDEQkUd3YPcZs,,2025-07-26 14:20:45.009 Z,,2025-07-31 00:13:02.000 Z,,,hosted,awaiting_disbursement_batch,pass,bank_transfer,,,,account_000000CvDiSGWkntg9YRD2jLgTnLN,EUR,50,58.74818421,EUR,47.25,54.4787843,,,EUR,2.75,3.170722896,,,,EUR,2.75
donation_000000D8b6HOxccpdlyk1b0RjzjcL,,,foundation_000000CS58uchzd01CInAFMQI8WG0,Foundation_Name_2,partner_000000CBRzAHRM9WxOQCLvDOxYEIC,Partner_Name_1,subsidiary_000000CwBmCQjhgnwNtUG07IN0ahM,Subsidiary_Name_5,organisation_000000CDyML85ueQGyKRCP3aHUYfR,Organisation_Name_104,Germany,,,stripe,pi_3RrPd6JnsAXlefwu1EVkmsdl,subscription_000000CwOjRmQ605ZoPDAkpTqIUiG,,2025-08-01 20:32:46.632 Z,,2025-08-06 00:09:48.000 Z,,,hosted,awaiting_disbursement_batch,pass,bank_transfer,,,,account_000000CvDhsjm3nkFdZrnfVJC2cTe,EUR,50,57.03464427,EUR,47.25,54.54040967,,,EUR,2.75,3.174309558,,,,EUR,2.75
donation_000000D6rHdBHO1hFLRvUYIXLp2vY,,,foundation_000000CS58uchzd01CInAFMQI8WG0,Foundation_Name_2,partner_000000CBRzAHRM9WxOQCLvDOxYEIC,Partner_Name_1,subsidiary_000000CwBmCJsFXyzCjKluHzd2I76,Subsidiary_Name_2,organisation_000000CdYWIfEieniAukfiepfJ8wy,Organisation_Name_11,Romania,,,stripe,pi_3RbhV1JnsAXlefwu17T4OILP,,,2025-06-19 12:23:56.625 Z,,2025-06-24 00:09:32.000 Z,,,hosted,awaiting_disbursement_batch,pass,card,,,,account_000000CvDiIkMf24A8MoZlHjLutIq,EUR,50,57.40791097,EUR,47.25,54.23303834,,,EUR,2.75,3.156420221,,,,EUR,2.75
donation_000000D8cKM8lPkyeajyE5Jw3l6LU,,,foundation_000000CS58uchzd01CInAFMQI8WG0,Foundation_Name_2,partner_000000CBRzAHRM9WxOQCLvDOxYEIC,Partner_Name_1,subsidiary_000000CwBmCJsFXyzCjKluHzd2I76,Subsidiary_Name_2,organisation_000000C6zmp0iNF3IQqmzNhBvpZav,Organisation_Name_44,Italy,,,stripe,pi_3RraiRJnsAXlefwu1oIIZtrJ,subscription_000000CwPxRCqv9aSF7wmARxrU4bw,,2025-08-02 08:23:02.092 Z,,2025-08-07 00:06:45.000 Z,,,hosted,awaiting_disbursement_batch,pass,bank_transfer,,,,account_000000CvDiWuimPj09gf9HXK8w9X7,EUR,50,57.03464427,EUR,47.25,54.83791518,,,EUR,2.75,3.203559487,,,,EUR,2.75
donation_000000D8fZB5QiHObIQQXyD85WaBw,,,foundation_000000CS58uchzd01CInAFMQI8WG1,Foundation_Name_1,partner_000000CBRzAHRM9WxOQCLvDOxYEIC,Partner_Name_1,subsidiary_000000CwBmCQj551MGyv5JB5b2Pa4,Subsidiary_Name_1,organisation_000000C704H83EOFbsuZcKjbViHFy,Organisation_Name_130,Australia,,,stripe,pi_3Rs3ytDDCXaSYWFr1lRWYvVW,subscription_000000D0A4AJ7MEpc4HYP5Rqxnosy,,2025-08-03 15:37:57.063 Z,,2025-08-05 14:01:39.000 Z,,,hosted,awaiting_disbursement_batch,pass,bank_transfer,,,,account_000000CvDiLIDAVmW5pL1uzIUxxLI,GBP,20,26.55830421,AUD,38.01,24.54934365,,,AUD,2.27,1.466114446,,,,GBP,1.10407233
donation_000000D93RX1l8AxetnVhT62hjs4f,,,,,partner_000000C8vUMH3LNF53RvTcxlnYLFg,Partner_Name_4,,,organisation_000000C704E8lyY3q1URVnORUSBSZ,Organisation_Name_55,Australia,,,,,,,2025-08-13 05:58:52.211 Z,,,,,direct,awaiting_donation_request,pass,bank_transfer,,,,,AUD,0.95,0.6161108978,,,,AUD,0.95,,,,,,,,
donation_000000D1OvNIEOvN53n2Ott6aGmJI,,,,,partner_000000CBRzAHRM9WxOQCLvDOxYEIC,Partner_Name_1,subsidiary_000000CwBmCJra4A7OsYFlsYrwzWC,Subsidiary_Name_9,organisation_000000C6zmX52qBufGK0M9eDoH0so,Organisation_Name_68,United States,,,,,,,2024-12-03 00:00:00.000 Z,,,,,direct,awaiting_donation_request,pass,bank_transfer,,,,,USD,3.2,3.2,,,,USD,3.2,,,,,,,USD,
donation_000000D938MXt7NPmsMobBRz9AnDt,,,,,partner_000000C8vUMH3LNF53RvTcxlnYLFg,Partner_Name_4,,,organisation_000000C704H83EOFbsuZcKjbViHFy,Organisation_Name_130,Australia,,,,,,,2025-08-13 02:59:54.144 Z,,,,,direct,awaiting_donation_request,pass,bank_transfer,,,,,AUD,0.69,0.4474910732,,,,AUD,0.69,,,,,,,,
donation_000000D9375dAQpzU1bcXAtbrlNRc,,,,,partner_000000C8vUMH3LNF53RvTcxlnYLFg,Partner_Name_4,,,organisation_000000C704EnwhOzZ6TMQMMFwHyxV,Organisation_Name_124,Australia,,,,,,,2025-08-13 02:48:01.547 Z,,,,,direct,awaiting_donation_request,pass,bank_transfer,,,,,AUD,0.19,0.1232221796,,,,AUD,0.19,,,,,,,,
donation_000000D91PuhIXWxQ7fp2P43apTiT,,,,,partner_000000C8vUMH3LNF53RvTcxlnYLFg,Partner_Name_4,,,organisation_000000C704Ig7aNkyPCiPeJptKTT4,Organisation_Name_128,Australia,,,,,,,2025-08-12 10:26:04.763 Z,,,,,direct,awaiting_donation_request,pass,bank_transfer,,,,,AUD,1.37,0.8923336269,,,,AUD,1.37,,,,,,,,
